Name1	Name2	Edge type	Edge weight
A2M	A2M	1	1.003870577289454
A2M	ACTN2	1	0.061343085951515886
A2M	ANKRD2	1	0.003239302648576914
AAAS	AAAS	1	1.03466260263951
AAAS	ENST00000209873.4	2	0.1893781895078058
AAGAB	AAGAB	1	1.0
AAK1	AAK1	1	1.0
AAMP	AAMP	1	1.004554695595165
AAMP	ENST00000248450.4	2	0.06764200504959916
AAR2	AAR2	1	1.0
AARS	AARS	1	1.0000414953967869
AARS	AMPD2	1	0.006441825723753625
AASDHPPT	AASDHPPT	1	1.0
AATF	AATF	1	0.9999999999999998
AATK	AATK	1	1.0
ABAT	ABAT	1	0.9999999999999998
ABCA1	ABCA1	1	1.015561726183527
ABCA1	ABCG1	1	-0.1257135374784221
ABCA13	ABCA13	1	1.000745605235411
ABCA13	APP	1	-0.02731595069877985
ABCA2	ABCA2	1	1.0
ABCA5	ABCA5	1	1.0
ABCA7	ABCA7	1	1.000000000000001
ABCB1	ABCB1	1	1.004731067546439
ABCB1	AKAP13	1	-0.02594251724614438
ABCB1	APBA2	1	-0.03585727858405807
ABCB1	ATP2B1	1	0.05124700769322493
ABCB6	ABCB6	1	1.0
ABCB7	ABCB7	1	1.009205998671907
ABCB7	ENST00000253577.3	2	-0.09638853190838467
ABCB8	ABCB8	1	1.001103705479244
ABCB8	ANKS1A	1	-0.033240391770082034
ABCC1	ABCC1	1	0.9999999999999992
ABCC3	ABCC3	1	1.0052162262439142
ABCC3	ACRBP	1	-0.07241156855186838
ABCC5	ABCC5	1	0.9999999999999998
ABCD3	ABCD3	1	1.0
ABCD4	ABCD4	1	0.9999999999999998
ABCF3	ABCF3	1	0.9999999999999998
ABCG1	ABCG1	1	1.015561726183528
ABHD10	ABHD10	1	1.0
ABHD12	ABHD12	1	1.000165954819448
ABHD12	AMPH	1	-0.0128834141612626
ABHD13	ABHD13	1	0.9999999999999998
ABHD14A	ABHD14A	1	1.000783145206027
ABHD14A	ACY1	1	-0.02799568756865212
ABHD14B	ABHD14B	1	1.0322273457087778
ABHD14B	AIFM3	1	0.03574313917847532
ABHD14B	APRT	1	-0.1786295314701227
ABHD14B	ARG1	1	-0.0009111065074264293
ABHD16A	ABHD16A	1	0.9999999999999998
ABHD3	ABHD3	1	1.0
ABHD4	ABHD4	1	0.9999999999999998
ABHD5	ABHD5	1	1.010745220163044
ABHD5	AMDHD2	1	-0.08467821871932818
ABHD5	ASAH1	1	-0.050746253796865586
ABHD5	ENST00000245544.4	2	-0.029207012552936586
ABHD6	ABHD6	1	1.016500110908094
ABHD6	ALOX15B	1	-0.07569229935604249
ABHD6	AMPH	1	-0.089478292053845
ABHD8	ABHD8	1	1.001898127113716
ABHD8	ANO8	1	-0.03957671521556255
ABHD8	ARMC7	1	-0.018285736117760132
ABI3	ABI3	1	1.004382309450158
ABI3	ENST00000225941.1	2	0.06634390768017072
ABL1	ABL1	1	1.0
ABLIM1	ABLIM1	1	1.0131231567929608
ABLIM1	AP3M2	1	-0.01554964982859391
ABLIM1	APBB1	1	-0.08467398960902839
ABLIM1	ATG9B	1	-0.07146838230383412
ABLIM3	ABLIM3	1	1.0072143154787792
ABLIM3	ACRBP	1	-0.05742532832737779
ABLIM3	ALOX12	1	-0.0481685882935971
ABR	ABR	1	1.001915167390179
ABR	ACTR1B	1	-0.01669625542779912
ABR	AKT1	1	-0.01614123344175328
ABR	ATG16L2	1	-0.03711725114796866
ABRACL	ABRACL	1	1.0
ABT1	ABT1	1	1.002270925501344
ABT1	ACTR1B	1	-0.03580911513609469
ABT1	APH1A	1	-0.03111375436829078
ABTB1	ABTB1	1	1.001049786167683
ABTB1	AQP9	1	-0.005380258305925256
ABTB1	ATG9A	1	-0.0319668881827081
AC022431.2	AC022431.2	1	1.000072595043341
AC022431.2	ARMC12	1	-0.00852058175138215
AC092811.1	AC092811.1	1	1.0002645595463309
AC092811.1	ADIPOR2	1	0.01626743796927627
ACAA1	ACAA1	1	1.000000000000001
ACAD10	ACAD10	1	1.002957812719397
ACAD10	ACAD9	1	-0.05446614889524981
ACAD11	ACAD11	1	1.00216813687354
ACAD11	ADAT2	1	-0.044550356238028166
ACAD11	ADHFE1	1	-0.013687999652210741
ACAD8	ACAD8	1	0.9999999999999998
ACAD9	ACAD9	1	1.002957812719397
ACADM	ACADM	1	1.0
ACADS	ACADS	1	1.0
ACADVL	ACADVL	1	0.9999999999999998
ACAP1	ACAP1	1	1.02237068532897
ACAP1	AP1G2	1	-0.09544234453167548
ACAP1	ENST00000158762.3	2	0.1162797423028102
ACAP2	ACAP2	1	1.002278206919538
ACAP2	ENST00000174618.4	2	0.04778490500467908
ACAP3	ACAP3	1	1.0017536732613779
ACAP3	ANAPC2	1	-0.00085392727502831
ACAP3	AUP1	1	-0.041904855124804685
ACBD3	ACBD3	1	0.9999999999999998
ACBD6	ACBD6	1	0.9999999999999998
ACCS	ACCS	1	1.0
ACD	ACD	1	1.00181943107182
ACD	ENST00000257966.8	2	0.042693575643713434
ACHE	ACHE	1	0.9999999999999998
ACIN1	ACIN1	1	1.000965861813535
ACIN1	ANAPC7	1	-0.03109332247571683
ACKR3	ACKR3	1	1.0
ACLY	ACLY	1	1.026979453356603
ACLY	AGXT	1	-0.02085716414994304
ACLY	AMBRA1	1	-0.02256013267268442
ACLY	ANKRD37	1	0.026225153156098018
ACLY	AP1M1	1	-0.08360779233021493
ACLY	APEH	1	-0.007156574339972909
ACLY	ARID1A	1	-0.1335909849314207
ACN9	ACN9	1	1.000000000000001
ACOT7	ACOT7	1	1.000183157319452
ACOT7	ENST00000217456.2	2	0.01353480203233395
ACOT8	ACOT8	1	1.002848198515957
