Name1	Name2	Edge type	Edge weight
A2M	ACTN2	1	0.0613430859515159
A2M	ANKRD2	1	0.00323930264857691
AARS	AMPD2	1	0.00644182572375362
ABCA1	ABCG1	1	-0.125713537478422
ABCA13	APP	1	-0.0273159506987798
ABCB1	AKAP13	1	-0.0259425172461444
ABCB1	APBA2	1	-0.0358572785840581
ABCB1	ATP2B1	1	0.0512470076932249
ABCB8	ANKS1A	1	-0.033240391770082
ABCC3	ACRBP	1	-0.0724115685518684
ABHD12	AMPH	1	-0.0128834141612626
ABHD14A	ACY1	1	-0.0279956875686521
ABHD14B	AIFM3	1	0.0357431391784753
ABHD14B	APRT	1	-0.178629531470123
ABHD14B	ARG1	1	-0.000911106507426429
ABHD5	AMDHD2	1	-0.0846782187193282
ABHD5	ASAH1	1	-0.0507462537968656
ABHD6	ALOX15B	1	-0.0756922993560425
ABHD6	AMPH	1	-0.089478292053845
ABHD8	ANO8	1	-0.0395767152155626
ABHD8	ARMC7	1	-0.0182857361177601
ABLIM1	AP3M2	1	-0.0155496498285939
ABLIM1	APBB1	1	-0.0846739896090284
ABLIM1	ATG9B	1	-0.0714683823038341
ABLIM3	ACRBP	1	-0.0574253283273778
ABLIM3	ALOX12	1	-0.0481685882935971
ABR	ACTR1B	1	-0.0166962554277991
ABR	AKT1	1	-0.0161412334417533
ABR	ATG16L2	1	-0.0371172511479687
ABT1	ACTR1B	1	-0.0358091151360947
ABT1	APH1A	1	-0.0311137543682908
ABTB1	AQP9	1	-0.00538025830592526
ABTB1	ATG9A	1	-0.0319668881827081
AC022431.2	ARMC12	1	-0.00852058175138215
AC092811.1	ADIPOR2	1	0.0162674379692763
ACAD10	ACAD9	1	-0.0544661488952498
ACAD11	ADAT2	1	-0.0445503562380282
ACAD11	ADHFE1	1	-0.0136879996522107
ACAP1	AP1G2	1	-0.0954423445316755
ACAP3	ANAPC2	1	-0.00085392727502831
ACAP3	AUP1	1	-0.0419048551248047
ACIN1	ANAPC7	1	-0.0310933224757168
ACLY	AGXT	1	-0.020857164149943
ACLY	AMBRA1	1	-0.0225601326726844
ACLY	ANKRD37	1	0.026225153156098
ACLY	AP1M1	1	-0.0836077923302149
ACLY	APEH	1	-0.00715657433997291
ACLY	ARID1A	1	-0.133590984931421
ACOT8	ARPC4	1	-0.0533484526812187
ACOT8	B3GALT4	1	-0.000977129828353185
ACPL2	AMPH	1	-0.0556911795872782
ACRBP	ALOX12	1	-0.304951035324098
ACRBP	AQP10	1	-0.100232905256616
ACSL1	ALOX5	1	-0.129965860686875
ACSL3	AGFG1	1	-0.0311420017998729
ACTA1	ACTN2	1	-0.274848839295843
ACTA1	ATP2A1	1	-0.202502189240496
ACTN2	ANKRD2	1	-0.285076546033242
ACTN2	ANKRD23	1	-0.128818247355074
ACTN2	ASB2	1	-0.0847727845023274
ACTN2	ATP2A1	1	-0.323597126134442
ACTR1B	APH1A	1	-0.0104341459728224
ACTR1B	ATP2A3	1	-0.0363389013048536
ACVR1	ANO6	1	-0.0334414068550474
ACVR1B	ATP2B1	1	0.00504024299639594
ACY1	AREL1	1	-0.088022631877033
ADAM17	ARL6IP6	1	-0.06892949675815
ADAM8	ASXL2	1	0.0310208483033594
ADAMTS2	ALOX15B	1	-0.116991099745479
ADAMTS2	AMPH	1	-0.208688303087849
ADAMTS2	ANG	1	-0.0213587826600924
ADAMTSL4	AP1M1	1	0.00443848559439003
ADAP1	AGTRAP	1	-0.00775046024566711
ADAP1	ARPC4	1	-0.00912074909377791
ADAT2	ANXA6	1	0.0540309439543671
ADCK4	ALOX15B	1	-0.0336411631961742
ADCK4	B3GALT4	1	-0.00282619234330184
ADD2	ALAD	1	-0.0477615071239026
ADD3	AGTPBP1	1	-0.0353362421082375
ADD3	ANKRD10	1	-0.0348695390190547
ADD3	ARGLU1	1	-0.0358056907573261
ADNP	ASB7	1	-0.0223543149678402
ADO	AP1M1	1	0.0292530259782072
ADORA2A	AGPAT9	1	-0.00166738547508871
ADPRM	ADTRP	1	-0.0438881560635818
ADRB2	APOBEC3H	1	-0.0121204551918347
ADRM1	AURKAIP1	1	-0.201394252727967
ADSL	APEH	1	-0.00896666444422373
ADSL	ARFGAP2	1	-0.0580825280950332
ADTRP	ATG9B	1	-0.041471112657579
AES	ARL4C	1	-0.152085801857774
AGAP2	ASGR2	1	0.00410621251150239
AGER	AUP1	1	-0.00610567349392449
AGFG1	AGTPBP1	1	-0.00776416554522485
AGFG1	ALOX5	1	-0.0163335736775781
AGFG1	AMPD2	1	0.0294151224766905
AGO4	AREL1	1	-0.0251877686732851
AGPAT2	AGTRAP	1	-0.147030636963489
AGPAT2	ARIH1	1	0.106465407997486
AGPAT2	ARL6IP4	1	-0.0306504613698261
AGPAT2	B3GALT4	1	-0.01390025085192
AGTPBP1	ANAPC11	1	0.0733876337899874
AGTRAP	ARPC4	1	-0.0425350408485045
AGXT	AHSG	1	-0.0237527944061782
AGXT	ALDOB	1	-0.324907108512366
AGXT	AMBP	1	-0.021717537744623
AGXT	APOA1	1	-0.112303416032425
AHSG	ALDOB	1	-0.076047354332048
AHSG	AMBP	1	-0.208322492582226
AHSG	APOA1	1	-0.179872497916137
AHSP	ALAS2	1	-0.0384479459575899
AIF1	AMICA1	1	-0.0401183550820847
AIFM3	APBB1	1	0.0298499450309211
AIFM3	ARHGEF10L	1	-0.0958071122170668
AIFM3	ARRB1	1	-0.0376662148336267
AKAP13	ANAPC13	1	0.024638143612273
AKAP13	ATP13A2	1	-0.0644623782454582
AKT1	AMPD2	1	-0.0163059763280758
AKT1S1	ASNA1	1	-0.0427267332700664
ALAD	APEH	1	-0.0525213826949896
ALAS1	ARFGAP2	1	0.00190591678058377
ALB	APOA2	1	-0.232507377810339
ALB	APOC3	1	-0.259666013027766
ALDOA	ATP6V0A1	1	-0.0113179064441089
ALDOB	AMBP	1	-0.0488695685598952
ALDOB	APOA1	1	-0.100984070117197
ALDOB	APOA2	1	-0.0423354017009106
ALDOB	APOC3	1	-0.116376662951328
ALDOB	ARID1A	1	-0.0103937565889041
ALDOB	AUP1	1	0.022328102842029
ALKBH7	ARL6IP4	1	-0.0721935695223799
ALOX12	ANO6	1	-0.0118348225348978
ALOX12	AQP10	1	-0.204373569061019
ALOX15B	AMPH	1	-0.206436707451245
ALOX15B	ARMC12	1	-0.0259801879620085
ALOX5	ALPL	1	-0.165451910280379
ALOX5	AP5M1	1	0.00961696036409798
ALPL	APBB1IP	1	-0.0869966231167403
AMBP	APOA1	1	-0.298267769153836
AMBP	APOA2	1	-0.150110068907353
AMBP	APOC3	1	-0.124655869691758
AMBRA1	ARID1A	1	-0.0340729249719969
AMDHD2	ASAH1	1	-0.0234639713654322
AMICA1	APOBR	1	-0.0384072165333056
AMICA1	ARAP3	1	-0.037887976721244
AMICA1	ARHGAP9	1	-0.0909764621782727
AMPD2	ARAP1	1	-0.0191645154563634
AMPD2	ATG16L2	1	-0.00879496657797069
ANAPC10	ATXN7L3B	1	0.0115750744456634
ANAPC11	ATOX1	1	-0.0141492628913034
ANAPC11	ATP5L	1	-0.0496463420539522
ANAPC11	AURKAIP1	1	-0.0530795925957253
ANAPC13	ANKS1A	1	0.0509205513723711
ANAPC13	B2M	1	-0.0373669004080686
ANAPC5	APEH	1	-0.00289587366131738
ANAPC5	ARFGAP2	1	-0.0200648508382737
ANAPC7	AP4B1	1	-0.0526283627717086
ANKRD13D	ARAP1	1	-0.0598684641406707
ANKRD17	ARID1A	1	-0.0753110748292096
ANKRD2	ANKRD23	1	-0.114638972176327
ANKRD2	ASB2	1	-0.0666292784654942
ANKRD37	ARID1A	1	0.0806917108939763
ANKS1A	ARID1A	1	-0.0341999277111004
ANO8	ARL4C	1	0.0189607243520467
ANXA1	ARHGDIB	1	-0.053637914042341
ANXA4	APEH	1	-0.0531387926437484
ANXA4	ARFGAP2	1	-0.0537733991218566
AP1AR	ARHGEF6	1	0.0850513061992701
AP1AR	AURKAIP1	1	-0.0223495645185109
AP1G2	AUP1	1	-0.112791760004117
AP1M1	APEH	1	-0.0479677550214847
AP1M1	ARHGEF6	1	-0.0112833460442263
AP1M1	ARMC8	1	-0.00382768268550754
AP4B1	ATP2C1	1	-0.0231973392079465
AP5M1	ATXN7L1	1	-0.00377318626541395
APBA2	APBB1	1	-0.0767909190188318
APBA2	ATP10A	1	-0.0960727147134588
APBA2	ATP2B1	1	0.0426021276653126
APBB1	ATG9B	1	-0.0578994789192736
APBB1	ATP6V0E2	1	-0.0576039338449263
APBB1IP	ATP2B4	1	-0.0324730075598309
APBB3	ATF3	1	-0.0963697045351718
APBB3	ATP2B1	1	-0.083753774657597
APEH	ARFGAP2	1	-0.276177114901864
APEX1	APRT	1	-0.0158812209107497
APH1A	ARF5	1	-0.0365445924832867
APOA1	APOA2	1	-0.0627507240266186
APOA1	APOC3	1	-0.177528700266347
APOA1BP	APRT	1	-0.0428276428118914
APOA2	APOC3	1	-0.402878994086323
APP	ATP6AP2	1	-0.0617487996454851
APRT	ATRAID	1	-0.00208491501017516
AQP9	ATP6V0B	1	-0.0264974446966926
AQP9	ATP6V0E1	1	-0.0178554067155229
ARAP1	ARAP3	1	-0.0475629331108189
ARAP1	ATG16L2	1	-0.107987318895535
AREL1	ARHGEF18	1	-0.00823117201927298
ARF5	ARPC4	1	-0.0866183974530275
ARFGAP2	ARRDC1	1	-0.00934984879593209
ARHGAP17	ARID1A	1	-0.069465088051112
ARHGAP30	ARHGDIB	1	-0.0141677625302195
ARHGAP4	ARHGEF1	1	-0.0147902952452407
ARHGDIB	ARPC4	1	-0.193982868668824
ARHGEF18	ATP2A3	1	-4.77899451265529e-05
ARHGEF6	ATP8B4	1	-0.02984057905967
ARID1A	ATXN2	1	-0.0487017594890903
ARID4A	ARID4B	1	-0.0802889583976856
ARID4B	ATP11A	1	-0.00957407915505742
ARIH1	B3GALT4	1	0.00954843784570203
ARL5B	ATG3	1	-0.0201375642388185
ARRB1	ATP2B1	1	-0.00789399012592668
ASAH1	ATG16L2	1	-0.0285750965461932
ASAH1	ATP6V0B	1	-0.0141026836701122
ASAH1	ATP9A	1	0.0906781787153308
ASB2	ATP2A1	1	-0.0634046855026334
ASB6	ATG16L1	1	-0.0354603801498089
ASF1B	AURKB	1	-0.128667914598441
ASTE1	ATP11B	1	0.0340438004712271
ASXL2	ATP9A	1	-0.0907984535154409
ATF2	AVL9	1	-0.0565935509252649
ATG16L1	AUTS2	1	-0.106370114880018
ATP11C	ATP7A	1	-0.049311261092156
ATP2B1	ATP9A	1	0.00208288838665865
ATP5G1	ATRAID	1	-0.00538548887026558
ATP5I	ATP5J	1	-0.191856868723317
ATP5I	ATP5L	1	-0.155947163918122
ATP5J	ATP5L	1	-0.0333838591502192
ATP5L	ATPIF1	1	-0.0621015615222571
ATP6V0A1	ATP6V0B	1	-0.0422463773278304
ATP6V0B	ATP6V0D1	1	-0.0293160477412227
ATP6V0B	ATP6V0E1	1	-0.0697706458677358
ATP6V0E1	AURKAIP1	1	-0.00549389251097043
ABHD5	ENST00000245544.4	2	-0.0292070125529366
ACAP2	ENST00000174618.4	2	0.0477849050046791
ACD	ENST00000257966.8	2	0.0426935756437134
ACOT7	ENST00000217456.2	2	0.013534802032334
ACOX3	ENST00000252029.3	2	-0.00448553445645541
ACSL5	ENST00000210060.7	2	-0.0121757342437381
ACTA1	ENST00000164139.3	2	-0.0354327501831381
ADAM9	ENST00000215631.4	2	0.0326963472760755
ADAMTSL4	ENST00000258362.3	2	-0.00662197063734074
ADAR	ENST00000218388.4	2	0.00944290931736152
ADPRM	ENST00000215587.7	2	0.0517183942841457
ADRBK1	ENST00000210060.7	2	0.00768242766071717
ADRBK1	ENST00000215793.8	2	0.0172115371417525
AGAP3	ENST00000248899.6	2	0.0307164925278992
AGPAT3	ENST00000222990.3	2	0.0122076836768595
AIP	ENST00000257745.4	2	-0.0065011493097081
AKAP10	ENST00000215739.8	2	0.00156891292890379
AKAP8	ENST00000228027.7	2	0.0689854131776552
AKAP9	ENST00000232014.4	2	0.00415400864615564
ALAD	ENST00000254624.5	2	-0.0246817921233129
ALAS1	ENST00000236067.4	2	-0.0174975270241275
ALDH2	ENST00000257821.4	2	-0.00640721397466695
ALDH3A2	ENST00000216064.4	2	0.00948981485441816
AMDHD2	ENST00000160262.5	2	0.0133017846334969
AMDHD2	ENST00000191018.5	2	0.0636877557092889
AMDHD2	ENST00000225719.4	2	0.0147036555299349
AMICA1	ENST00000229332.5	2	-0.0182477323122863
ANAPC2	ENST00000254235.3	2	0.0118337139869408
ANAPC7	ENST00000257497.6	2	0.0203267641591865
ANKRA2	ENST00000175756.5	2	-0.00143239553496463
ANO6	ENST00000218516.3	2	-0.0134675276080429
ANO8	ENST00000228740.2	2	-0.0430254009032992
ANXA4	ENST00000218388.4	2	0.0218311344349968
ANXA4	ENST00000247655.3	2	-0.0223941451341129
AP1G2	ENST00000221554.8	2	-0.00850938626399275
AP2M1	ENST00000037243.2	2	-0.0601555263627056
AP2M1	ENST00000229794.4	2	0.0423918226314132
AP3B1	ENST00000194214.5	2	-0.0174170844168121
AP3B1	ENST00000248975.5	2	-0.0183560991185941
APEH	ENST00000248929.9	2	-0.0191971107530925
APTX	ENST00000248901.6	2	-0.00998149072301541
ARAF	ENST00000037243.2	2	-0.0180022861551844
AREL1	ENST00000053867.3	2	0.00667529176850765
ARF3	ENST00000160262.5	2	-0.0186724956764402
ARFGAP2	ENST00000248929.9	2	-0.01296250382088
ARFRP1	ENST00000216455.4	2	0.00134335282585243
ARHGAP19	ENST00000243077.3	2	-0.0055929936635381
ARHGEF2	ENST00000210060.7	2	0.0294230549354704
ARHGEF2	ENST00000258484.6	2	-0.0937225193446056
ARID4B	ENST00000253727.5	2	-0.0039688812063077
